Plus de 80 % des images évaluées sont signalées. Vérifiez le cadrage, la sensibilité et la séparation des séquences.	More than 80% of evaluated images are flagged. Check the crop, sensitivity and sequence separation.
Les indications signalent des changements à interpréter visuellement.	Indications flag changes that need visual interpretation.
 rupture(s) de séquence. Bilan avant filtre de persistance, propre à ce job.	 sequence gap(s). Job-specific counts before the persistence filter.
Gris calibré. Lancez l’analyse pour parcourir le job.	Gray level calibrated. Run analysis to review the job.
 photos · un job · analyse temporelle autonome	 photos · one job · independent temporal analysis
Cadrage du lit / des pièces	Powder-bed / part region
Gris initial de ce job : 	Initial gray level in this job: 
 photos de départ. 	 initial photographs. 
Le niveau de gris sera calibré automatiquement au lancement. 	Gray level will be calibrated automatically when analysis starts. 
Deux séquences séparées (paires / impaires). 	Two separate sequences (even / odd). 
Acquisitions consécutives. 	Consecutive acquisitions. 
Fusion et étalement non identifiés : choisissez l’intervalle 2 uniquement si les prises de vue alternent.	Melting and spreading stages are unidentified: use interval 2 only if captures alternate.
Chaque caméra et étape est calibrée et analysée séparément dans ce job.	Each camera and stage is calibrated and analyzed separately within this job.
1 = tout afficher. Même catégorie, même caméra et même 	1 = show all. Same category, camera and 
séquence (intervalle 	sequence (interval 
 Les zones doivent se recouvrir d’une image à la suivante ; une interruption coupe la série. Filtre commun à la liste, à la 3D et au rapport, sans relancer le calcul ni effacer vos décisions.	 Areas must overlap in successive images; a gap breaks the sequence. The filter applies to the list, 3D view and report without recalculating measurements or deleting decisions.
Import du dossier	Folder import
Indexation des images	Indexing images
 fichiers parcourus…	 files scanned…
Calibration du gris dans ce job : 	Job gray-level calibration: 
Traitement interrompu · les mesures déjà calculées seront réutilisées	Processing stopped · existing measurements will be reused
Analyse disponible · 	Analysis available · 
 photos évaluées sur 	 evaluated photos out of 
Gris calibré · prêt à analyser les 	Gray level calibrated · ready to analyze 
Prêt à analyser les 	Ready to analyze 
Résultats disponibles · 	Results available · 
 images consécutives par série initialisent l’historique.	 consecutive images per series initialize the history.
Images en erreur	Image errors
Photos évaluées	Evaluated photos
Photos de calibration	Calibration photos
Photos avec indications	Flagged photos
Indications par image	Indications per image
Gris initial · / 255	Initial gray level · / 255
 photos mesurées · 	 measured photos · 
 photos évaluées · 	 evaluated photos · 
 images d’initialisation · 	 initialization images · 
 d’initialisation · 	 initialization · 
 d’initialisation ·	 initialization ·
 à examiner · 	 pending · 
 image(s) en erreur · 	 image error(s) · 
 en erreur.	 error(s).
 images mesurées	 measured images
 masquée(s) par la persistance · minimum 	 hidden by persistence · minimum 
L’analyse est en cours.	Analysis is running.
Aucune indication pour ces réglages ou filtres.	No indications match these settings or filters.
Image absente de cette série	Image missing from this series
Dimensions différentes : comparaison indisponible	Different dimensions: comparison unavailable
Ouvrir ce gros plan	Open this close-up
Ouvrir la couche entière	Open the full layer image
 pixels sur la photo d’origine.	 pixels in the original photograph.
Indication de 	Indication size: 
Même cadrage de 	Matching crop: 
 pixels et même échelle de gris. Les pointillés des vues avant/après repèrent le même emplacement.	 pixels, with the same gray-level scale. Dashed boxes in the before/after views mark the same location.
 · hauteur physique non attribuée	 · physical height not assigned
 · dépassement du seuil × 	 · threshold ratio × 
acquisition(s) comparable(s)	comparable acquisition(s)
 · persistance : 	 · persistence: 
 · composante 	 · component 
Intensité × 	Intensity × 
 · enregistrée	 · saved
Fin de la liste · décision enregistrée	End of list · decision saved
Analyse en cours	Analysis in progress
Comparaison · à venir	Comparison · coming soon
Analyse d’un job	Single-job analysis
Le sélecteur de dossier est indisponible. Collez le chemin du dossier ci-dessus.	The folder picker is unavailable. Paste the folder path above.
Source des images · 	Image source · 
Dossier local : 	Local folder: 
 image(s) non reconnue(s) par le modèle de noms.	 image(s) not recognized by the filename pattern.
La vue 3D nécessite WebGL dans ce navigateur. Les vues 2D restent disponibles.	The 3D view requires WebGL in this browser. The 2D views remain available.
Initialisation 3D : 	3D initialization: 
Assemblage du rendu 3D impossible.	Could not initialize the 3D renderer.
Section photographique indisponible.	Photographic section unavailable.
Extraction de la section de coupe…	Extracting the current cross-section…
Section extraite en cyan, superposée à la photo	Extracted cyan section overlaid on the photograph
Aucune section extraite. Essayez un contraste minimal plus bas.	No section extracted. Try a lower minimum contrast.
Extraction très étendue : vérifiez le fond et augmentez le contraste minimal.	Very extensive extraction: check the background and increase minimum contrast.
Cyan : section extraite. Vérifiez sa correspondance avec la photo.	Cyan: extracted section. Check that it matches the photograph.
Forme extraite : sections photographiques en cyan, empilées aux hauteurs des couches. Extraction approximative par contraste local, sans CAO ni annotations : ombres, reflets, cavités et zones peu contrastées peuvent fausser les contours. Contrôlez la superposition sur la photo de coupe.	Extracted shape: cyan photographic sections stacked at their layer heights. Local-contrast extraction is approximate; shadows, reflections, cavities and low-contrast areas can distort the outline. Check the overlay on the cross-section photograph.
La forme après fusion exige une étape identifiée. Ces acquisitions ne sont pas étiquetées fusion / étalement ; l’empilement des photos et les scores restent disponibles.	Shape reconstruction requires an identified post-melting stage. These acquisitions have no melting / spreading labels; the photographic stack and scores remain available.
Sélectionnez « After melting » pour extraire la forme visible des pièces.	Select After melting to extract visible part sections.
Forme cyan : 	Cyan shape: 
 · extraction terminée.	 · extraction complete.
calcul en cours…	processing…
reste estimé 	estimated remaining 
 · aperçu ≤ 	 · preview ≤ 
 px, géométrie approximative.	 px, approximate geometry.
 indication(s) visible(s) · persistance minimale : 	 visible indication(s) · minimum persistence: 
 · jaune → rouge : score de priorité croissant.	 · yellow → red: increasing priority score.
 · repères rouges.	 · red markers.
 Repères au pic, visibles à travers les plans. Cliquez sur un point pour ouvrir sa fiche et son score.	 Markers are placed at the peak and visible through the planes. Click a point to open its review and score.
 · ordre de prise de vue	 · capture order
Coupe indisponible.	Cross-section unavailable.
L’analyse prépare les couches. La vue 3D sera disponible à la fin.	Analysis is preparing the layers. The 3D view will be available when it finishes.
Lancez d’abord une analyse pour préparer les couches.	Run an analysis first to prepare the layers.
Préparation des plans photographiques…	Preparing photographic planes…
Empilement par ordre d’acquisition : 	Stack in acquisition order: 
. Hauteur physique non attribuée.	. Physical height is not assigned.
Hauteurs : 	Heights: 
 mm · pas nominal 	 mm · nominal step 
L’axe vertical représente l’ordre des photos. Il n’est pas gradué en millimètres. Les indications sont placées sur leur acquisition.	The vertical axis represents acquisition order, not millimeters. Indications are placed on their acquisition.
Les photos sont placées à leur hauteur de couche. X et Y restent en pixels ; les proportions 3D sont adaptées à la lecture.	Photos are placed at their layer heights. X and Y remain in pixels; 3D proportions are adjusted for readability.
Glisser : rotation · molette : zoom · axe vertical : acquisitions	Drag: rotate · scroll: zoom · vertical axis: acquisitions
 plans d’aperçu répartis dans le volume, limités à 	 preview planes distributed through the volume, limited to 
 pixels. Déplacez la coupe pour charger n’importe quelle image ; les indications restent toutes représentées.	 pixels. Move the cut to load any image; all indications remain represented.
 aperçus chargés	 previews loaded
 indisponible(s)	 unavailable
